,0.0000,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.9000,1.0000
1,0.1612,0.1964,0.2229,0.2374,0.2363,0.2292,0.2212,0.2113,0.2004,0.1901,0.1816
2,0.1471,0.1823,0.2125,0.2314,0.2427,0.2442,0.2389,0.2308,0.2211,0.2120,0.2013
3,0.1401,0.1775,0.2073,0.2280,0.2411,0.2477,0.2486,0.2445,0.2364,0.2272,0.2165
4,0.1337,0.1745,0.2052,0.2249,0.2386,0.2472,0.2512,0.2505,0.2444,0.2374,0.2258
5,0.1281,0.1713,0.1998,0.2197,0.2343,0.2436,0.2502,0.2514,0.2472,0.2409,0.2311
6,0.1236,0.1680,0.1956,0.2146,0.2287,0.2390,0.2466,0.2500,0.2485,0.2428,0.2322
7,0.1200,0.1646,0.1913,0.2093,0.2240,0.2339,0.2425,0.2469,0.2480,0.2426,0.2323
